BlockPath,BlockType,LibraryLink,Parameter,Value
"TransformerWithCTSaturationz_DISCONNECTED/CT1/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Saturation","[0 0 ; 0.01 10 ; 1 10.5]"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","CoreLoss","[100]"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","BreakLoop","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","DiscreteSolver","Trapezoidal iterative"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","DataType","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","InitialFlux","6.74702885714095e-05"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","TransfoNumber","1"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/I2","SubSystem","spsCurrentMeasurementLib/Current Measurement","PhasorSimulation","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/I2","SubSystem","spsCurrentMeasurementLib/Current Measurement","OutputType","Magnitude"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/I2","SubSystem","spsCurrentMeasurementLib/Current Measurement","PSBequivalent","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Conn1","PMIOPort","","Port","1"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Conn1","PMIOPort","","Side","Left"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Conn1","PMIOPort","","ConnectionType","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Conn2","PMIOPort","","Port","2"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Conn2","PMIOPort","","Side","Right"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Conn2","PMIOPort","","ConnectionType","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","Port","1"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","SignalObject","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","StorageClass","Auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","IconDisplay","Port number"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","OutputFunctionCall","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","OutDataTypeStr","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","BusOutputAsStruct","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","BusVirtuality","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","DataMode","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","Unit","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","PortDimensions","-1"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","VarSizeSig","Inherit"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","SignalType","auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","EnsureOutportIsVirtual","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","SourceOfInitialOutputValue","Dialog"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","OutputWhenDisabled","held"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","InitialOutput","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","MustResolveToSignalObject","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","OutputWhenUnConnected","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","OutputWhenUnconnectedValue","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT1/Out1","Outport","","VectorParamsAs1DForOutWhenUnconnected","on"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","ShowPortLabels","FromPortIcon"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","Permissions","ReadWrite"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","PermitHierarchicalResolution","All"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","TreatAsAtomicUnit","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","ShowSubsystemReinitializePorts","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","MinAlgLoopOccurrences","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","ScheduleAs","Sample time"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","SystemSampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","SetExecutionDomain","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","ExecutionDomainType","Deduce"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","RTWSystemCode","Auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","RTWFcnNameOpts","Auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","RTWFileNameOpts","Auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","FunctionInterfaceSpec","void_void"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","FunctionWithSeparateData","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","RTWMemSecFuncInitTerm","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","RTWMemSecFuncExecute","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","RTWMemSecDataConstants","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","RTWMemSecDataInternal","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","RTWMemSecDataParameters","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","IsSubsystemVirtual","on"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","Variant","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","VariantChoices","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","VariantControlMode","expression"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","VariantActivationTime","update diagram"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","AllowZeroVariantControls","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","PropagateVariantConditions","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","TreatAsGroupedWhenPropagatingVariantConditions","on"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","Latency","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","AutoFrameSizeCalculation","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2","SubSystem","","CompiledVariantActivationTime","update diagram"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","BranchType","R"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Resistance","1"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Inductance","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","SetiL0","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","InitialCurrent","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Capacitance","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Setx0","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","InitialVoltage","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Measurements","None"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","ThreeWindings","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Hysteresis","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","DataFile","'hysteresis'"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Measurements","Flux and magnetization current ( Imag )"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","UNITS","pu"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","NominalPower","[25 50]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Winding1","[5*1/20 0.001 0.04]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Winding2","[5 0.001 0.04 ]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Winding3","[5 0.001 0.04 ]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Saturation","[0 0 ; 0.01 10 ; 1 10.5]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","CoreLoss","[100]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","BreakLoop","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","DiscreteSolver","Trapezoidal iterative"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","DataType","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","InitialFlux","7.75814969445124e-05"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","TransfoNumber","1"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/I2","SubSystem","spsCurrentMeasurementLib/Current Measurement","PhasorSimulation","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/I2","SubSystem","spsCurrentMeasurementLib/Current Measurement","OutputType","Magnitude"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/I2","SubSystem","spsCurrentMeasurementLib/Current Measurement","PSBequivalent","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Conn1","PMIOPort","","Port","1"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Conn1","PMIOPort","","Side","Left"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Conn1","PMIOPort","","ConnectionType","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Conn2","PMIOPort","","Port","2"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Conn2","PMIOPort","","Side","Right"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Conn2","PMIOPort","","ConnectionType","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","Port","1"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","SignalObject","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","StorageClass","Auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","IconDisplay","Port number"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","OutputFunctionCall","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","OutMin","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","OutMax","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","OutDataTypeStr","Inherit: auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","LockScale","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","BusOutputAsStruct","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","BusVirtuality","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","DataMode","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","Unit","inherit"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","PortDimensions","-1"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","VarSizeSig","Inherit"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","SignalType","auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","EnsureOutportIsVirtual","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","SourceOfInitialOutputValue","Dialog"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","OutputWhenDisabled","held"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","InitialOutput","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","MustResolveToSignalObject","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","OutputWhenUnConnected","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","OutputWhenUnconnectedValue","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT2/Out1","Outport","","VectorParamsAs1DForOutWhenUnconnected","on"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","ShowPortLabels","FromPortIcon"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","Permissions","ReadWrite"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","PermitHierarchicalResolution","All"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","TreatAsAtomicUnit","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","ShowSubsystemReinitializePorts","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","MinAlgLoopOccurrences","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","ScheduleAs","Sample time"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","SystemSampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","SetExecutionDomain","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","ExecutionDomainType","Deduce"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","RTWSystemCode","Auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","RTWFcnNameOpts","Auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","RTWFileNameOpts","Auto"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","FunctionInterfaceSpec","void_void"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","FunctionWithSeparateData","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","RTWMemSecFuncInitTerm","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","RTWMemSecFuncExecute","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","RTWMemSecDataConstants","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","RTWMemSecDataInternal","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","RTWMemSecDataParameters","Inherit from model"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","IsSubsystemVirtual","on"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","Variant","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","VariantChoices","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","VariantControlMode","expression"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","VariantActivationTime","update diagram"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","AllowZeroVariantControls","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","PropagateVariantConditions","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","TreatAsGroupedWhenPropagatingVariantConditions","on"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","Latency","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","AutoFrameSizeCalculation","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3","SubSystem","","CompiledVariantActivationTime","update diagram"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","BranchType","R"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Resistance","1"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Inductance","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","SetiL0","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","InitialCurrent","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Capacitance","[]"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Setx0","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","InitialVoltage","0"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/1ohm","PMComponent","spsSeriesRLCBranchLib/Series RLC Branch","Measurements","None"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","ThreeWindings","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Hysteresis","off"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","DataFile","'hysteresis'"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Measurements","Flux and magnetization current ( Imag )"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","UNITS","pu"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","NominalPower","[25 50]"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Winding1","[5*1/500 0.001 0.04]"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Winding2","[5 0.001 0.04 ]"
"TransformerWithCTSaturationz_DISCONNECTED/CT3/CT 2000//5 A
25 VA","SubSystem","spsSaturableTransformerLib/Saturable Transformer","Winding3","[5 0.001 0.04 ]"
